customer_uid,num_flights,num_trips,mode_start_city,mode_end_city,GenderCode,Age,BaseFareAmt,TotalDocAmt,discount_code,membership_length,days_booked_in_advance,upgrade_flag,class_Coach,class_Discount First Class,class_First Class,season_fall,season_spring,season_summer,season_winter,channel_Airport,channel_Outside Booking,channel_Reservations Booking,channel_SCA Website Booking,channel_SY Vacation,channel_Tour Operator Portal,conjuctive_flag,trip_type_multi,trip_type_one_way,trip_type_round_trip,avg_distance,trip_distance_type_long_distance,trip_distance_type_medium_distance,trip_distance_type_short_distance,popular_route_rank_1,popular_route_rank_2,popular_route_rank_3,popular_route_rank_4,popular_route_rank_5,popular_route_rank_6,popular_route_rank_7,popular_route_rank_8,popular_route_rank_9,popular_route_rank_10,start_city,end_city,group_size,weekend_0,weekend_1,start_midwest,start_northeast,start_rockey_mountains,start_southeast,start_west_coast,end_midwest,end_northeast,end_rockey_mountains,end_southeast,end_west_coast,temp_diff,member_Elite,member_Not Member,member_Standard
56455244454349415344696420493F7C206765742074686973207269676874434F4459-M-50161.0,2,1,JFK,LAX,M,27.0,285.58,329.6,0,0.0,-1.0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,2565.0,1,0,1,0,0,1,0,0,1,0,0,0,0,JFK,MSP,1.0,1,0,0,1,0,0,0,1,0,0,0,0,-9.39246082949309,0,1,0
455249434B534F4E44696420493F7C20676574207468697320726967687444455354494E59-F-52879.0,2,1,MSP,MSP,F,18.0,423.25,476.8,0,0.0,-88.5,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,3178.0,2,0,0,0,0,0,0,0,0,1,0,1,0,MSP,SFO,1.0,1,0,1,0,0,0,0,0,0,0,0,1,31.081592161999893,0,1,0
414C42415241444F44696420493F7C20676574207468697320726967687453544556454E204A414D4553-M-43403.0,2,1,MSP,MSP,M,45.0,255.82,303.2,2,0.0,-13.0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,3071.0,1,1,0,0,0,0,0,1,1,0,0,0,0,MSP,LAX,1.0,1,0,1,0,0,0,0,0,0,0,0,1,31.081592161999893,0,1,0
43485249535449414E44696420493F7C20676574207468697320726967687443414D494C4C4F204A-M-52086.0,1,1,MSP,MCO,M,21.0,150.7,176.1,1,589.0,-39.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1310.0,0,1,0,0,0,0,0,0,0,0,1,0,0,MSP,MSP,2.0,0,1,1,0,0,0,0,1,0,0,0,0,0.0,0,0,1
4741524E455244696420493F7C206765742074686973207269676874414E445245-F-59839.0,2,1,LAX,LAX,F,0.0,353.48,402.0,2,0.0,-54.0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,3071.0,1,1,0,0,0,0,0,1,1,0,0,0,0,LAX,MSP,2.0,0,1,0,0,0,0,1,1,0,0,0,0,-5.4358413842039255,0,1,0
4144414D5344696420493F7C2067657420746869732072696768744A4F484E204652414E434953-M-43861.0,2,1,LAX,LAX,M,43.0,238.14,278.0,0,0.0,-111.5,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,3071.0,1,1,0,0,0,0,0,1,1,0,0,0,0,LAX,MSP,1.0,0,1,0,0,0,0,1,1,0,0,0,0,-7.041586157960808,0,1,0
53554E44696420493F7C2067657420746869732072696768744C454C494E-M-52698.0,2,1,MSP,MSP,M,20.0,581.39,681.4,0,0.0,-11.0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,2056.0,0,0,2,0,0,1,1,0,0,0,0,0,0,MSP,JFK,1.0,0,1,1,0,0,0,0,0,1,0,0,0,13.041579109062976,0,1,0
414E444552534F4E44696420493F7C206765742074686973207269676874444F524F544859204A45414E-F-34160.0,2,1,MSP,MSP,F,69.0,256.74,297.8,0,0.0,-63.0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,3071.0,1,1,0,0,0,0,0,1,1,0,0,0,0,MSP,LAX,3.0,0,1,1,0,0,0,0,0,0,0,0,1,16.303280388625076,0,1,0
4D415254494E455A44696420493F7C206765742074686973207269676874414E54484F4E594A4F53455048-M-37660.0,2,1,MSP,MSP,M,59.0,283.76,0.0,2,1761.0,-124.5,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2599.0,0,2,0,1,1,0,0,0,0,0,0,0,0,MSP,LAS,6.0,0,1,1,0,0,0,0,0,0,1,0,0,1.6219034720512155,0,0,1
425255434B4E455244696420493F7C2067657420746869732072696768744B4556494E204D-M-49859.0,2,1,MSP,MSP,M,27.0,465.11,522.0,0,0.0,-68.5,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,2620.0,0,2,0,0,0,0,0,0,0,0,1,0,1,MSP,MCO,2.0,0,1,1,0,0,0,0,0,0,0,1,0,37.93271442860716,0,1,0
